07/16/2025	11:30:58	e4ee9fb9-c181-49a8-9601-3098b3928aac	/new-page.html	GET
07/16/2025	11:30:58	9d75d066-d00e-4b21-a5e5-4933da88899a	/css/style.css	GET
07/16/2025	11:30:58	52055264-7a09-465e-a86a-6677c14d5969	/img/img1.jpg	GET
07/16/2025	11:52:33	4191eba5-38ac-4f18-aaaf-bacd9bca01a6	/	GET
07/16/2025	11:52:33	5a4b915b-abfd-4019-8b68-68e8d00590ab	/css/style.css	GET
07/16/2025	11:52:34	bb3fac3e-d217-4490-b6db-5771d8425980	/favicon.ico	GET
07/16/2025	11:57:53	e7527bc4-93b2-4f91-b60a-03f198d0adf9	/	GET
07/16/2025	11:57:53	3553e16b-0c74-4028-98b7-45acb7689b1d	/css/style.css	GET
07/16/2025	11:57:57	62ec1a0a-5c61-436a-a21e-923616443be7	/	GET
07/16/2025	11:57:57	10b5b592-1607-4a5a-a4d6-4acfeb50fc4a	/css/style.css	GET
07/16/2025	11:58:02	66e530e0-3319-470b-a830-2f193afb34b8	/new-page.html	GET
07/16/2025	11:58:02	09f70cf4-b598-4b9d-99df-39bd9be6ee56	/css/style.css	GET
07/16/2025	11:58:02	ab18c5ff-7bf3-477f-9208-551e49afdda9	/img/img1.jpg	GET
07/16/2025	12:01:44	5c61354b-f83c-46ab-b1fc-bd9e3171d779	/new-page.html	GET
07/16/2025	12:01:45	5fdc153d-e4b2-4f53-9f6b-dbbd57b65292	/css/style.css	GET
07/16/2025	12:01:45	2977f8f0-abc1-480f-bcb3-b2a901fe0d8d	/img/img1.jpg	GET
07/16/2025	12:04:37	1399dfdb-72ed-4ad0-992c-fd7ff2498f41	/subdir	GET
07/16/2025	12:04:37	9a11637a-59d7-4e25-960f-33ba461a9818	/css/style.css	GET
07/16/2025	12:05:01	26158fb8-dbfb-49be-956d-48059013ccdb	/subdir/index.html	GET
07/16/2025	13:07:27	ff8492d1-c5f2-4d90-8843-bae7634ffa0c	/subdir/index.html	GET
07/16/2025	13:08:21	8baa0f97-7db7-4d99-912b-0d2c71d44844	/subdir/index.html	GET
07/16/2025	13:08:45	0b2bd7b6-c35b-4498-921f-57197a70f6fe	/subdir/index.html	GET
07/16/2025	13:16:37	0b530625-015a-463d-b6a2-b6687519e1f1	/	GET
07/16/2025	13:16:38	df2a258d-19c9-4539-93d1-669cb02373d3	/css/style.css	GET
07/17/2025	16:56:50	6f7d5134-8aaa-4017-bd4e-7bc0142ea4c4	GET	undefined	/img/img1.jpg
07/17/2025	16:56:55	b5268898-7c1c-4985-a016-9b7da4612bf2	GET	undefined	/new-page.html
07/17/2025	16:56:55	712c3a11-dbc9-4648-b820-24ee7e57e7a4	GET	undefined	/css/style.css
07/17/2025	16:56:55	46fb81ba-fcc5-41aa-870d-374ea5f26398	GET	undefined	/img/img1.jpg
07/17/2025	16:57:12	1db8160d-38ae-4703-80ca-be816cf2e93d	GET	undefined	/index
07/17/2025	16:57:12	0c49714d-b355-47eb-8fe1-f01b4d1d77cd	GET	undefined	/css/style.css
07/17/2025	17:07:19	209bbfaa-7f70-496c-ac63-946bd3fabdc7	GET	undefined	/index
07/17/2025	17:07:19	fbd803aa-2bf4-4483-8278-c1103dfe7be0	GET	undefined	/css/style.css
07/17/2025	17:08:25	7bea79bc-7011-40c0-8611-c1752847ba95	GET	undefined	/employees
07/17/2025	17:08:34	a0d05ef7-9bd6-4d3e-b158-1d923218f624	GET	undefined	/employees
07/17/2025	17:08:50	b3e68b08-3758-4de4-ad53-d6024736adb7	POST	undefined	/employees
07/17/2025	17:13:20	b8ffadd8-c750-4800-848e-f725a3701539	POST	undefined	/employees
07/17/2025	17:13:26	d2b1ed20-812a-4659-8bed-95034116e0fd	POST	undefined	/employees
07/17/2025	17:13:51	46c8c782-11c5-47a4-9735-1088b5d29524	POST	undefined	/employees
07/17/2025	17:15:11	eb6b2a1e-10e0-481e-98cb-5ccc002d5371	PUT	undefined	/employees
07/17/2025	17:15:46	6c3eda4e-4ab2-41ac-9877-e07d54489859	DELETE	undefined	/employees
07/17/2025	17:15:58	84b96341-c590-486c-9abb-81cf3b90fbba	DELETE	undefined	/employees/1
07/17/2025	17:16:19	13e4f3ed-691f-403f-82ae-d948cf512289	GET	undefined	/employees/1
07/19/2025	08:58:35	b55c76c9-f710-411c-830f-e44c166fcf85	GET	undefined	/
07/19/2025	08:58:35	110c261d-5d66-4e54-8ba6-381cfc8fa5c5	GET	undefined	/css/style.css
07/19/2025	08:58:39	fb62fac7-f78b-4ceb-8f9f-f3399a851a34	GET	undefined	/index
07/19/2025	08:58:40	e99d74ae-0c69-41d0-8157-64301d6c93e0	GET	undefined	/css/style.css
07/19/2025	08:58:44	9f4fa5d9-0952-40b6-8844-9bae3d42071c	GET	undefined	/favicon.ico
07/19/2025	08:58:52	94d28eb3-eb48-421d-9e9b-44b43d97cdff	GET	undefined	/views
07/19/2025	08:58:52	4f6e2e08-6584-4f56-8d2c-9d9d405dc3c0	GET	undefined	/css/style.css
07/19/2025	08:59:10	d71c04d2-5d5b-4a76-9400-7bcc5c8664f4	GET	undefined	/new-page
07/19/2025	08:59:10	914201ee-2962-4d3a-a796-106e6e9a8987	GET	undefined	/img/img1.jpg
07/19/2025	08:59:10	8c3b3610-9f4f-4168-b6e2-5f164224a3e2	GET	undefined	/css/style.css
07/24/2025	17:43:25	3a10dde4-59bf-40f5-8cfa-41ac4787a55a	GET	undefined	/employees
07/24/2025	17:45:05	3c9c84ef-c4a7-48cd-bb68-5a393e542cf2	POST	undefined	/employees
